id,sale_date,address,city,state,zip,beds,baths,sqft,lot_sqft,year_built,property_type,sale_price,latitude,longitude,days_on_market,agent_name,agent_phone,sale_type,hoa_fee,description
14,2024-08-30,1390 Oak Ave,New York,NY,24662,5,3.0,2294,10868,1972,Townhouse,489222,25.121478,-114.833941,0,Chris Jones,+1-445-259-4946,Conventional,43.96,"5 bed / 3.0 bath townhouse in New York, built in 1972."
15,2020-09-19,7032 Maple St,San Francisco,CA,19071,4,1.4,1199,1478,2016,Townhouse,406240,27.248194,-103.040199,56,Blake Garcia,+1-762-369-5342,Conventional,123.31,"4 bed / 1.4 bath townhouse in San Francisco, built in 2016."
16,2023-10-07,4161 Maple St,Seattle,WA,36365,3,3.5,2021,9308,1959,Single Family,643625,36.820425,-112.87115,25,Blake Miller,+1-648-729-8397,Cash,0.0,"3 bed / 3.5 bath single family in Seattle, built in 1959."
17,2021-04-16,1204 Main St,Chicago,IL,54313,2,1.1,2185,5106,1885,Single Family,617467,45.472227,-107.216413,99,Avery Williams,+1-207-272-1964,Mortgage,0.0,"2 bed / 1.1 bath single family in Chicago, built in 1885."
18,2023-10-02,7849 Washington Ave,Austin,TX,19287,3,1.9,2368,6369,2011,Single Family,874820,39.760173,-67.566931,3,Cameron Williams,+1-752-335-8744,Mortgage,0.0,"3 bed / 1.9 bath single family in Austin, built in 2011."
19,2021-12-26,1093 Washington Ave,San Antonio,TX,22363,3,2.9,2643,489,1904,Condo,347230,46.917773,-94.853483,60,Riley Davis,+1-678-946-1887,Cash,77.07,"3 bed / 2.9 bath condo in San Antonio, built in 1904."
20,2023-01-03,4192 Oak Ave,Austin,TX,24322,6,1.4,1610,4058,1943,Single Family,532560,39.179998,-122.261486,10,Cameron Brown,+1-632-387-5563,VA,0.0,"6 bed / 1.4 bath single family in Austin, built in 1943."
21,2025-08-08,6758 Lakeview Rd,Charlotte,NC,82132,0,1.0,1422,10355,1905,Single Family,273158,30.179705,-88.495243,44,Drew Smith,+1-295-971-4872,Mortgage,0.0,"0 bed / 1 bath single family in Charlotte, built in 1905."
22,2020-12-03,7030 Lakeview Rd,San Francisco,CA,38016,1,3.9,3274,11453,1982,Multi-Family,979536,44.084469,-108.562562,11,Riley Smith,+1-599-471-8454,FHA,0.0,"1 bed / 3.9 bath multi-family in San Francisco, built in 1982."
23,2020-04-29,921 Lakeview Rd,Phoenix,AZ,34890,1,2.4,2203,9463,1955,Single Family,319670,31.00583,-92.69408,5,Avery Anderson,+1-755-262-6138,Cash,0.0,"1 bed / 2.4 bath single family in Phoenix, built in 1955."
24,2022-11-06,6715 Oak Ave,Indianapolis,IN,79615,6,1.0,1412,11067,1920,Single Family,286369,27.34802,-95.977895,19,Jamie Brown,+1-270-809-2113,Mortgage,0.0,"6 bed / 1 bath single family in Indianapolis, built in 1920."
25,2022-05-08,3446 Elm St,Denver,CO,42271,2,2.6,3105,279,1890,Condo,484402,45.555756,-86.454463,14,Blake Wilson,+1-778-735-6183,FHA,8.78,"2 bed / 2.6 bath condo in Denver, built in 1890."
26,2023-08-14,7608 Oak Ave,San Diego,CA,44814,1,3.9,1638,6243,1981,Single Family,400253,34.316078,-87.332572,25,Casey Garcia,+1-523-969-2188,Cash,0.0,"1 bed / 3.9 bath single family in San Diego, built in 1981."
27,2020-09-28,7279 Cedar Ln,Chicago,IL,80468,6,1.6,1966,9539,1934,Single Family,332102,40.094628,-73.984095,35,Morgan Johnson,+1-450-578-5669,Mortgage,0.0,"6 bed / 1.6 bath single family in Chicago, built in 1934."
28,2024-07-31,1991 Oak Ave,Washington,DC,95717,3,1.7,2397,8441,2015,Single Family,477934,43.633911,-104.574198,13,Drew Jones,+1-879-306-3200,FHA,0.0,"3 bed / 1.7 bath single family in Washington, built in 2015."
29,2021-03-07,8104 Cedar Ln,Seattle,WA,30374,5,2.0,2544,3907,1949,Single Family,878239,46.729167,-118.796659,0,Sam Miller,+1-408-903-5325,Conventional,0.0,"5 bed / 2.0 bath single family in Seattle, built in 1949."
30,2020-03-31,7339 Washington Ave,Los Angeles,CA,22097,5,2.7,995,1143,1988,Townhouse,299004,38.188693,-98.832761,47,Alex Miller,+1-989-333-5291,Mortgage,104.87,"5 bed / 2.7 bath townhouse in Los Angeles, built in 1988."
31,2024-12-13,9152 Pine Dr,Seattle,WA,11267,2,2.0,2130,3745,1908,Single Family,429688,41.823259,-119.852509,2,Sam Brown,+1-758-236-7049,Conventional,0.0,"2 bed / 2.0 bath single family in Seattle, built in 1908."
32,2025-01-15,5894 Washington Ave,Columbus,OH,26704,2,1.0,674,3126,1890,Single Family,128581,46.752505,-117.661744,16,Chris Smith,+1-566-415-5088,Cash,0.0,"2 bed / 1 bath single family in Columbus, built in 1890."
33,2025-06-22,6845 Maple St,Washington,DC,30257,1,3.2,1254,5807,1940,Townhouse,386196,31.85709,-74.48985,26,Chris Brown,+1-622-225-3938,FHA,16.31,"1 bed / 3.2 bath townhouse in Washington, built in 1940."
34,2020-03-20,5100 Maple St,Dallas,TX,30866,2,2.3,1855,9934,1907,Single Family,466963,40.105567,-84.342325,22,Pat Garcia,+1-427-404-8541,FHA,0.0,"2 bed / 2.3 bath single family in Dallas, built in 1907."
35,2021-07-24,6648 Elm St,San Diego,CA,13101,4,1.9,2581,200,1929,Single Family,632390,39.007747,-119.569126,13,Pat Johnson,+1-991-485-6753,Conventional,0.0,"4 bed / 1.9 bath single family in San Diego, built in 1929."
36,2025-05-25,5239 Washington Ave,New York,NY,25118,7,1.0,743,13325,1946,Single Family,175829,28.610005,-90.134549,130,Casey Smith,+1-311-810-8119,FHA,0.0,"7 bed / 1 bath single family in New York, built in 1946."
37,2023-03-26,8618 Maple St,Washington,DC,77033,6,2.0,1837,4199,1909,Single Family,382968,39.548191,-110.96736,92,Jordan Jones,+1-245-925-8144,Cash,0.0,"6 bed / 2.0 bath single family in Washington, built in 1909."
38,2025-02-28,8408 Cedar Ln,Jacksonville,FL,66531,3,1.9,1993,14189,1897,Multi-Family,662717,38.245764,-92.026536,57,Morgan Wilson,+1-521-879-3041,FHA,0.0,"3 bed / 1.9 bath multi-family in Jacksonville, built in 1897."
39,2023-02-09,9424 Cedar Ln,Columbus,OH,52753,2,3.2,2502,4265,1983,Condo,347714,46.699809,-104.149438,17,Taylor Williams,+1-630-880-7211,Mortgage,216.65,"2 bed / 3.2 bath condo in Columbus, built in 1983."
40,2021-03-06,7338 Lakeview Rd,Fort Worth,TX,81819,6,2.0,2437,4874,1880,Single Family,195103,40.201621,-110.3117,11,Riley Wilson,+1-821-870-6279,VA,0.0,"6 bed / 2.0 bath single family in Fort Worth, built in 1880."
41,2025-05-19,8545 Elm St,San Antonio,TX,77000,1,2.3,2093,2240,2001,Townhouse,272525,29.135677,-113.039526,68,Chris Anderson,+1-373-874-2389,FHA,308.26,"1 bed / 2.3 bath townhouse in San Antonio, built in 2001."
42,2021-02-11,1293 Lakeview Rd,Chicago,IL,40784,0,1.7,1375,2828,1959,Single Family,250824,33.742477,-95.305216,6,Taylor Smith,+1-247-450-8784,Conventional,0.0,"0 bed / 1.7 bath single family in Chicago, built in 1959."
43,2022-02-25,7065 Maple St,Columbus,OH,92544,1,2.4,2763,9405,1929,Condo,395598,33.89133,-96.38219,7,Cameron Davis,+1-449-351-1090,Cash,86.93,"1 bed / 2.4 bath condo in Columbus, built in 1929."
44,2021-05-25,9257 Elm St,Philadelphia,PA,77889,4,2.7,1009,6114,1998,Single Family,318343,37.782814,-110.179181,17,Pat Johnson,+1-667-336-8612,Conventional,0.0,"4 bed / 2.7 bath single family in Philadelphia, built in 1998."
45,2025-01-31,4346 Maple St,Charlotte,NC,90301,2,2.1,950,3382,2009,Single Family,145899,39.246219,-85.291168,66,Drew Garcia,+1-362-961-8777,VA,0.0,"2 bed / 2.1 bath single family in Charlotte, built in 2009."
46,2021-07-16,5602 Elm St,Dallas,TX,78327,2,3.9,2611,4237,2004,Condo,821273,40.502014,-91.465637,13,Cameron Johnson,+1-930-492-4841,FHA,100.26,"2 bed / 3.9 bath condo in Dallas, built in 2004."
47,2022-02-23,6778 Elm St,Seattle,WA,20561,4,1.6,1299,4472,1915,Single Family,272326,26.92561,-94.102851,68,Sam Brown,+1-923-419-2052,VA,0.0,"4 bed / 1.6 bath single family in Seattle, built in 1915."
48,2024-09-01,6332 Lakeview Rd,Seattle,WA,71069,2,1.6,2112,5660,1986,Single Family,635552,29.101302,-85.887336,8,Riley Davis,+1-988-798-1320,Conventional,0.0,"2 bed / 1.6 bath single family in Seattle, built in 1986."
49,2024-10-13,3713 Lakeview Rd,New York,NY,56105,5,1.4,356,200,1956,Townhouse,67136,38.949717,-115.201325,10,Pat Davis,+1-751-965-9947,Conventional,135.65,"5 bed / 1.4 bath townhouse in New York, built in 1956."
50,2022-03-07,2191 Main St,San Diego,CA,45774,2,1.3,1492,10025,1991,Single Family,262536,39.29533,-97.120157,42,Morgan Martinez,+1-895-614-3704,VA,0.0,"2 bed / 1.3 bath single family in San Diego, built in 1991."
51,2020-06-20,4362 Washington Ave,Fort Worth,TX,87580,5,1.1,1935,6357,2024,Condo,481749,29.839056,-114.671611,55,Blake Davis,+1-338-672-3977,Cash,50.64,"5 bed / 1.1 bath condo in Fort Worth, built in 2024."
52,2024-04-07,7805 Main St,Austin,TX,37742,3,1.7,2496,4695,1996,Single Family,837709,34.046666,-97.627252,17,Riley Jones,+1-970-631-5133,Cash,0.0,"3 bed / 1.7 bath single family in Austin, built in 1996."
53,2020-05-20,3366 Main St,Seattle,WA,16826,3,1.8,2458,9569,1969,Single Family,612101,40.064993,-104.91038,84,Chris Martinez,+1-241-972-1508,Mortgage,0.0,"3 bed / 1.8 bath single family in Seattle, built in 1969."
54,2023-10-03,2849 Oak Ave,Washington,DC,29973,3,2.2,1945,6992,1941,Single Family,292881,42.854711,-122.088651,8,Jamie Wilson,+1-423-676-5198,FHA,0.0,"3 bed / 2.2 bath single family in Washington, built in 1941."
55,2025-03-17,1345 Maple St,Philadelphia,PA,50768,5,3.0,1444,4290,1907,Single Family,354845,41.654763,-93.064707,30,Casey Wilson,+1-893-584-7498,Mortgage,0.0,"5 bed / 3.0 bath single family in Philadelphia, built in 1907."
56,2023-03-05,1229 Elm St,Houston,TX,49529,2,2.8,1936,9342,1910,Townhouse,229648,37.141328,-89.147109,88,Chris Smith,+1-555-745-8018,FHA,42.0,"2 bed / 2.8 bath townhouse in Houston, built in 1910."
57,2025-05-21,2985 Cedar Ln,New York,NY,65057,0,1.1,3225,8361,2005,Single Family,655486,38.830921,-89.417242,4,Morgan Martinez,+1-670-924-3506,VA,0.0,"0 bed / 1.1 bath single family in New York, built in 2005."
58,2024-08-18,4669 Lakeview Rd,Washington,DC,80539,5,2.0,2675,200,2003,Single Family,784529,25.111169,-104.990547,48,Sam Wilson,+1-474-530-5022,Cash,0.0,"5 bed / 2.0 bath single family in Washington, built in 2003."
59,2022-02-15,3575 Elm St,San Diego,CA,70910,4,1.7,1531,12676,2025,Condo,226959,35.054211,-71.853784,4,Morgan Smith,+1-706-532-3979,VA,1.0,"4 bed / 1.7 bath condo in San Diego, built in 2025."
60,2023-12-07,4054 Washington Ave,Dallas,TX,54608,3,1.0,986,8066,1951,Townhouse,153160,26.609835,-81.252253,173,Casey Rodriguez,+1-210-729-4130,Cash,386.0,"3 bed / 1 bath townhouse in Dallas, built in 1951."
61,2023-08-15,3730 Washington Ave,San Francisco,CA,82768,2,2.0,3855,1571,1941,Condo,898488,28.725766,-113.630097,17,Sam Garcia,+1-658-217-2524,FHA,186.91,"2 bed / 2.0 bath condo in San Francisco, built in 1941."
62,2022-12-23,7534 Cedar Ln,San Diego,CA,50135,5,1.0,2548,11086,1974,Single Family,541069,27.498606,-78.404783,0,Morgan Davis,+1-963-763-6419,FHA,0.0,"5 bed / 1 bath single family in San Diego, built in 1974."
63,2021-01-29,3645 Lakeview Rd,San Jose,CA,42951,2,1.8,1500,8843,1939,Single Family,385523,29.919623,-107.290579,33,Morgan Johnson,+1-960-748-4033,Mortgage,0.0,"2 bed / 1.8 bath single family in San Jose, built in 1939."
64,2025-07-01,5052 Main St,Dallas,TX,87278,1,2.9,464,13058,2014,Single Family,52993,39.167079,-108.720372,14,Jamie Williams,+1-503-432-6912,Mortgage,0.0,"1 bed / 2.9 bath single family in Dallas, built in 2014."
65,2020-04-21,300 Cedar Ln,Seattle,WA,26591,4,2.8,1775,4657,1950,Single Family,873841,28.344546,-76.408977,8,Drew Jones,+1-914-329-9042,Cash,0.0,"4 bed / 2.8 bath single family in Seattle, built in 1950."
66,2025-05-31,8156 Oak Ave,San Francisco,CA,72746,3,2.5,1956,2086,1992,Single Family,413751,44.913803,-112.233988,31,Alex Jones,+1-689-316-2070,VA,0.0,"3 bed / 2.5 bath single family in San Francisco, built in 1992."
67,2024-07-19,6918 Maple St,Denver,CO,92502,0,2.2,2586,12661,1893,Single Family,485274,26.127183,-114.521848,21,Avery Jones,+1-287-454-2940,Conventional,0.0,"0 bed / 2.2 bath single family in Denver, built in 1893."
68,2021-08-31,1725 Maple St,Indianapolis,IN,59856,2,1.0,1310,373,1995,Multi-Family,191459,32.130921,-91.714936,38,Pat Wilson,+1-639-512-1986,Conventional,0.0,"2 bed / 1 bath multi-family in Indianapolis, built in 1995."
69,2020-12-21,9829 Lakeview Rd,San Antonio,TX,44687,4,1.5,1897,16240,1900,Single Family,376110,26.803307,-82.493241,3,Drew Johnson,+1-360-202-7693,VA,0.0,"4 bed / 1.5 bath single family in San Antonio, built in 1900."
70,2021-08-02,9763 Maple St,San Jose,CA,14278,3,1.4,2199,8130,1939,Single Family,364570,33.663374,-118.779822,26,Sam Garcia,+1-272-903-4824,FHA,0.0,"3 bed / 1.4 bath single family in San Jose, built in 1939."
71,2020-11-01,9849 Cedar Ln,Columbus,OH,25043,4,2.9,1895,9266,2019,Single Family,522443,30.992032,-96.102777,56,Casey Brown,+1-273-261-3718,FHA,0.0,"4 bed / 2.9 bath single family in Columbus, built in 2019."
72,2023-12-04,1417 Main St,Charlotte,NC,26299,3,2.8,2143,6830,1999,Condo,427452,48.305398,-70.17681,74,Riley Jones,+1-712-752-9090,VA,67.0,"3 bed / 2.8 bath condo in Charlotte, built in 1999."
73,2021-04-13,759 Pine Dr,Columbus,OH,52247,5,1.8,675,8004,1944,Single Family,100580,26.568552,-106.028451,38,Blake Wilson,+1-801-221-5415,Conventional,0.0,"5 bed / 1.8 bath single family in Columbus, built in 1944."
74,2021-01-06,5800 Washington Ave,San Francisco,CA,78021,5,2.1,2652,3930,1993,Multi-Family,1163718,48.618003,-80.208415,62,Avery Davis,+1-850-703-2494,VA,0.0,"5 bed / 2.1 bath multi-family in San Francisco, built in 1993."
75,2021-11-06,701 Lakeview Rd,Austin,TX,52081,3,1.7,1559,2780,1906,Townhouse,228182,34.22384,-85.260105,7,Riley Anderson,+1-707-495-7561,Conventional,5.2,"3 bed / 1.7 bath townhouse in Austin, built in 1906."
76,2025-06-09,6870 Main St,Chicago,IL,51224,3,2.2,2587,5144,1944,Single Family,594082,29.008815,-67.503388,28,Chris Davis,+1-726-201-9889,VA,0.0,"3 bed / 2.2 bath single family in Chicago, built in 1944."
77,2022-10-17,9098 Pine Dr,San Antonio,TX,77952,4,1.5,1375,3507,1972,Condo,186247,48.258463,-73.624205,1,Blake Garcia,+1-978-252-4335,FHA,178.35,"4 bed / 1.5 bath condo in San Antonio, built in 1972."
78,2025-06-16,9124 Main St,San Jose,CA,67424,4,1.3,2177,3791,2004,Single Family,631915,38.922069,-118.78525,26,Blake Wilson,+1-445-926-3594,FHA,0.0,"4 bed / 1.3 bath single family in San Jose, built in 2004."
79,2024-09-19,4881 Cedar Ln,Seattle,WA,63476,2,1.0,2028,7337,1903,Single Family,828836,34.802877,-102.756755,2,Jamie Garcia,+1-320-863-3522,VA,0.0,"2 bed / 1 bath single family in Seattle, built in 1903."
80,2023-02-02,1243 Cedar Ln,Columbus,OH,73242,3,2.6,951,200,2000,Single Family,153017,41.272388,-91.753278,12,Taylor Davis,+1-395-813-9327,Mortgage,0.0,"3 bed / 2.6 bath single family in Columbus, built in 2000."
81,2020-01-06,7416 Lakeview Rd,Columbus,OH,54548,8,2.3,2606,12126,2009,Single Family,427646,45.924245,-122.332905,63,Casey Anderson,+1-505-801-9022,Mortgage,0.0,"8 bed / 2.3 bath single family in Columbus, built in 2009."
82,2022-02-11,6374 Maple St,Jacksonville,FL,53573,2,1.4,2195,7673,2021,Townhouse,653556,39.806246,-68.072388,10,Cameron Miller,+1-393-914-4912,Conventional,0.51,"2 bed / 1.4 bath townhouse in Jacksonville, built in 2021."
83,2023-12-15,706 Pine Dr,Columbus,OH,15720,4,2.2,1478,8152,1961,Condo,340456,27.460233,-70.577976,80,Chris Davis,+1-595-879-3492,VA,216.22,"4 bed / 2.2 bath condo in Columbus, built in 1961."
84,2024-11-25,2461 Washington Ave,Indianapolis,IN,87356,1,2.9,978,6531,1964,Townhouse,216034,45.916883,-68.511129,1,Pat Garcia,+1-302-738-8486,Cash,228.48,"1 bed / 2.9 bath townhouse in Indianapolis, built in 1964."
85,2021-06-26,8842 Washington Ave,Phoenix,AZ,19807,4,3.3,1747,3779,2000,Townhouse,591834,44.075429,-84.460113,5,Morgan Wilson,+1-909-607-2315,FHA,329.82,"4 bed / 3.3 bath townhouse in Phoenix, built in 2000."
86,2020-03-14,1580 Washington Ave,Austin,TX,92155,1,2.9,2848,5110,2004,Townhouse,437210,34.542266,-108.369733,30,Avery Johnson,+1-440-846-5708,Mortgage,94.99,"1 bed / 2.9 bath townhouse in Austin, built in 2004."
87,2023-11-22,5973 Elm St,Houston,TX,93066,4,2.1,1616,9802,1905,Single Family,355228,45.846956,-79.733979,6,Casey Smith,+1-247-532-1919,FHA,0.0,"4 bed / 2.1 bath single family in Houston, built in 1905."
88,2023-03-05,6367 Maple St,Columbus,OH,29080,4,2.0,2799,7965,1942,Single Family,361620,41.453567,-99.472564,4,Blake Brown,+1-374-379-2293,Conventional,0.0,"4 bed / 2.0 bath single family in Columbus, built in 1942."
89,2023-07-30,4812 Pine Dr,San Francisco,CA,86435,2,1.0,2251,3461,1916,Single Family,678254,34.419845,-96.643486,2,Casey Garcia,+1-461-882-1153,VA,0.0,"2 bed / 1 bath single family in San Francisco, built in 1916."
90,2021-09-04,3363 Washington Ave,Chicago,IL,67898,5,2.0,1026,5809,1968,Co-op,190581,25.2345,-105.391705,28,Blake Davis,+1-906-456-8484,FHA,78.73,"5 bed / 2.0 bath co-op in Chicago, built in 1968."
91,2022-01-05,4597 Main St,San Francisco,CA,23979,1,3.4,1584,5655,1940,Single Family,317928,38.62098,-84.700497,4,Avery Jones,+1-916-502-1359,VA,0.0,"1 bed / 3.4 bath single family in San Francisco, built in 1940."
92,2024-03-06,3215 Cedar Ln,Denver,CO,99889,2,2.2,1161,13247,1892,Multi-Family,244951,33.146805,-77.554969,48,Cameron Jones,+1-994-435-6772,Mortgage,0.0,"2 bed / 2.2 bath multi-family in Denver, built in 1892."
93,2023-08-16,1576 Cedar Ln,Phoenix,AZ,92345,2,2.5,1641,11269,1904,Multi-Family,591648,26.95912,-120.559931,39,Alex Jones,+1-651-234-6977,Mortgage,0.0,"2 bed / 2.5 bath multi-family in Phoenix, built in 1904."
94,2024-05-29,4310 Lakeview Rd,Austin,TX,64460,1,1.7,2139,8091,1924,Single Family,434673,42.260843,-110.97808,24,Drew Miller,+1-743-713-5465,Mortgage,0.0,"1 bed / 1.7 bath single family in Austin, built in 1924."
95,2020-06-03,6092 Oak Ave,San Jose,CA,54396,5,3.7,2672,5557,1909,Single Family,905559,33.30244,-102.850791,16,Taylor Williams,+1-892-941-7511,Conventional,0.0,"5 bed / 3.7 bath single family in San Jose, built in 1909."
96,2022-07-20,6342 Elm St,Fort Worth,TX,11824,1,2.2,2637,12735,1947,Single Family,454098,35.121302,-108.220816,69,Morgan Martinez,+1-966-888-5295,Conventional,0.0,"1 bed / 2.2 bath single family in Fort Worth, built in 1947."
97,2023-06-22,5051 Washington Ave,Houston,TX,98452,4,2.0,1299,7583,1939,Single Family,365096,30.70104,-68.63048,5,Drew Miller,+1-824-426-2035,VA,0.0,"4 bed / 2.0 bath single family in Houston, built in 1939."
98,2021-09-15,6467 Lakeview Rd,Houston,TX,28320,3,1.9,2649,200,1891,Multi-Family,575768,48.265896,-109.286394,14,Cameron Johnson,+1-299-440-9807,Mortgage,0.0,"3 bed / 1.9 bath multi-family in Houston, built in 1891."
99,2024-02-29,6786 Cedar Ln,Jacksonville,FL,97881,3,2.3,1762,7908,2018,Single Family,412802,44.893201,-99.439411,12,Sam Brown,+1-624-870-2622,VA,0.0,"3 bed / 2.3 bath single family in Jacksonville, built in 2018."
100,2025-04-30,5976 Main St,Los Angeles,CA,58566,3,2.7,2778,10858,1935,Single Family,556853,29.940189,-117.620582,60,Jordan Miller,+1-301-902-7018,Conventional,0.0,"3 bed / 2.7 bath single family in Los Angeles, built in 1935."
101,2025-04-27,449 Main St,Fort Worth,TX,46160,1,3.0,2382,6207,1928,Multi-Family,528301,37.173635,-121.630347,11,Pat Garcia,+1-293-878-4475,Conventional,0.0,"1 bed / 3.0 bath multi-family in Fort Worth, built in 1928."
102,2021-02-24,5483 Pine Dr,Austin,TX,41925,3,2.1,2162,5465,1912,Townhouse,554953,28.35163,-122.291505,32,Jamie Rodriguez,+1-412-800-4538,Mortgage,440.66,"3 bed / 2.1 bath townhouse in Austin, built in 1912."
103,2020-10-23,2259 Main St,Washington,DC,10371,2,2.2,1279,10292,1950,Townhouse,255121,47.670741,-85.054862,54,Taylor Rodriguez,+1-456-378-2801,Cash,137.57,"2 bed / 2.2 bath townhouse in Washington, built in 1950."
104,2021-06-27,1141 Lakeview Rd,Jacksonville,FL,41186,4,2.2,2159,1693,1962,Single Family,619607,27.558233,-86.502818,31,Alex Brown,+1-959-631-9619,Cash,0.0,"4 bed / 2.2 bath single family in Jacksonville, built in 1962."
105,2022-07-14,7604 Main St,Charlotte,NC,57453,1,3.3,1748,7315,2011,Single Family,439176,42.722781,-73.924613,25,Drew Williams,+1-829-244-9543,FHA,0.0,"1 bed / 3.3 bath single family in Charlotte, built in 2011."
106,2020-08-09,2530 Oak Ave,Los Angeles,CA,72781,5,3.0,1590,6481,1982,Single Family,175144,34.325394,-98.424464,35,Cameron Anderson,+1-654-275-2323,FHA,0.0,"5 bed / 3.0 bath single family in Los Angeles, built in 1982."
107,2022-02-19,7148 Oak Ave,Phoenix,AZ,46046,2,1.0,1935,3199,2020,Condo,787096,37.457963,-96.686633,18,Avery Rodriguez,+1-501-664-9282,Conventional,147.26,"2 bed / 1 bath condo in Phoenix, built in 2020."
108,2021-03-16,6632 Washington Ave,Houston,TX,95814,0,1.7,874,200,2021,Condo,236716,44.511658,-83.066985,22,Riley Garcia,+1-433-623-6553,VA,207.64,"0 bed / 1.7 bath condo in Houston, built in 2021."
109,2021-06-06,1498 Oak Ave,Houston,TX,50966,1,2.5,2407,7124,1989,Single Family,578423,47.426465,-103.957507,1,Morgan Brown,+1-903-685-2099,Cash,0.0,"1 bed / 2.5 bath single family in Houston, built in 1989."
110,2023-02-13,6830 Elm St,Columbus,OH,22656,1,1.3,1012,9883,1975,Townhouse,122621,42.187616,-108.460432,28,Alex Wilson,+1-775-775-6400,Cash,59.53,"1 bed / 1.3 bath townhouse in Columbus, built in 1975."
111,2021-12-21,3774 Oak Ave,Columbus,OH,16743,2,1.2,2240,13386,1953,Condo,485556,48.110245,-96.437898,8,Jamie Wilson,+1-719-417-3535,VA,140.58,"2 bed / 1.2 bath condo in Columbus, built in 1953."
112,2021-07-24,4481 Main St,Jacksonville,FL,82910,2,2.4,1911,10824,1974,Single Family,562178,39.663544,-100.571377,7,Avery Williams,+1-639-774-1430,Conventional,0.0,"2 bed / 2.4 bath single family in Jacksonville, built in 1974."
113,2021-12-19,2424 Main St,Philadelphia,PA,45818,4,2.3,2442,3758,1959,Multi-Family,953974,39.972624,-98.249242,3,Alex Brown,+1-346-779-7566,Cash,0.0,"4 bed / 2.3 bath multi-family in Philadelphia, built in 1959."
114,2022-07-18,9868 Oak Ave,Chicago,IL,79531,4,3.0,3098,200,1935,Single Family,856549,48.706852,-116.222934,20,Morgan Brown,+1-578-519-6314,Conventional,0.0,"4 bed / 3.0 bath single family in Chicago, built in 1935."
